"","season","stage","date","home_team_goal","away_team_goal","country","league","home_team","away_team","B365H","B365D","B365A","home_shoton","away_shoton","home_shotoff","away_shotoff","home_foulcommit","away_foulcommit","home_card","away_card","home_cross","away_cross","home_corner","away_corner"
"6784","2012/2013",10,"2012-10-27 00:00:00",3,1,"France","France Ligue 1","Toulouse FC","Stade Brestois 29",1.5,3.75,7.5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6785","2012/2013",29,"2013-03-16 00:00:00",4,0,"France","France Ligue 1","FC Lorient","Stade Brestois 29",1.62,3.6,6,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6786","2011/2012",9,"2011-10-02 00:00:00",1,1,"France","France Ligue 1","Olympique de Marseille","Stade Brestois 29",1.44,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6787","2010/2011",27,"2011-03-12 00:00:00",2,0,"France","France Ligue 1","AS Saint-Étienne","Stade Brestois 29",1.91,3.3,4.2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6788","2011/2012",26,"2012-03-04 00:00:00",0,0,"France","France Ligue 1","SM Caen","Stade Brestois 29",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6789","2012/2013",31,"2013-04-06 00:00:00",4,0,"France","France Ligue 1","SC Bastia","Stade Brestois 29",1.85,3.3,4.5,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA
"6790","2010/2011",3,"2010-08-21 00:00:00",1,0,"France","France Ligue 1","Olympique Lyonnais","Stade Brestois 29",1.4,4.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6791","2010/2011",21,"2011-01-29 00:00:00",2,0,"France","France Ligue 1","FC Lorient","Stade Brestois 29",1.91,3.25,4.33,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"6792","2011/2012",30,"2012-03-31 00:00:00",2,1,"France","France Ligue 1","FC Sochaux-Montbéliard","Stade Brestois 29",2,3.1,4.2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6793","2010/2011",18,"2010-12-18 00:00:00",1,1,"France","France Ligue 1","OGC Nice","Stade Brestois 29",2.4,3,3.2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6794","2012/2013",18,"2012-12-15 00:00:00",1,2,"France","France Ligue 1","FC Sochaux-Montbéliard","Stade Brestois 29",2.2,3.1,3.5,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6795","2011/2012",38,"2012-05-20 00:00:00",0,1,"France","France Ligue 1","Évian Thonon Gaillard FC","Stade Brestois 29",2.5,3.25,2.8,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6796","2012/2013",16,"2012-12-08 00:00:00",2,2,"France","France Ligue 1","Stade Rennais FC","Stade Brestois 29",1.62,3.5,6.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6797","2011/2012",11,"2011-10-22 00:00:00",1,1,"France","France Ligue 1","Girondins de Bordeaux","Stade Brestois 29",1.75,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6798","2011/2012",28,"2012-03-17 00:00:00",2,1,"France","France Ligue 1","FC Lorient","Stade Brestois 29",2,3.1,4.2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"6799","2010/2011",23,"2011-02-13 00:00:00",3,0,"France","France Ligue 1","Valenciennes FC","Stade Brestois 29",2.15,3.1,3.6,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6800","2010/2011",14,"2010-11-20 00:00:00",2,1,"France","France Ligue 1","Stade Rennais FC","Stade Brestois 29",1.75,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6801","2010/2011",29,"2011-04-02 00:00:00",2,1,"France","France Ligue 1","FC Sochaux-Montbéliard","Stade Brestois 29",1.95,3.2,4.2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"6802","2012/2013",12,"2012-11-10 00:00:00",1,0,"France","France Ligue 1","LOSC Lille","Stade Brestois 29",1.33,4.75,10,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"6803","2011/2012",4,"2011-08-27 00:00:00",0,0,"France","France Ligue 1","OGC Nice","Stade Brestois 29",2.2,3.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6804","2010/2011",31,"2011-04-16 00:00:00",1,1,"France","France Ligue 1","RC Lens","Stade Brestois 29",2,3.1,4.1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6805","2012/2013",3,"2012-08-26 00:00:00",4,0,"France","France Ligue 1","AS Saint-Étienne","Stade Brestois 29",1.7,3.5,5.25,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6806","2011/2012",24,"2012-02-18 00:00:00",0,0,"France","France Ligue 1","AC Ajaccio","Stade Brestois 29",2.6,3.1,2.8,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA
"6807","2012/2013",24,"2013-02-09 00:00:00",2,1,"France","France Ligue 1","Valenciennes FC","Stade Brestois 29",1.62,3.75,5.5,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"6808","2010/2011",25,"2011-02-26 00:00:00",1,1,"France","France Ligue 1","AC Arles-Avignon","Stade Brestois 29",3.2,3,2.38,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"6809","2011/2012",15,"2011-11-26 00:00:00",2,0,"France","France Ligue 1","LOSC Lille","Stade Brestois 29",1.4,4.33,8.5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6810","2012/2013",20,"2013-01-12 00:00:00",0,2,"France","France Ligue 1","Évian Thonon Gaillard FC","Stade Brestois 29",1.83,3.4,4.5,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"6811","2012/2013",26,"2013-02-24 00:00:00",0,2,"France","France Ligue 1","Girondins de Bordeaux","Stade Brestois 29",1.44,4,8,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"6812","2011/2012",36,"2012-05-06 00:00:00",1,1,"France","France Ligue 1","Olympique Lyonnais","Stade Brestois 29",1.4,4.33,8.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6813","2010/2011",10,"2010-10-23 00:00:00",0,2,"France","France Ligue 1","Girondins de Bordeaux","Stade Brestois 29",1.6,3.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6814","2011/2012",5,"2011-09-11 00:00:00",1,0,"France","France Ligue 1","Paris Saint-Germain","Stade Brestois 29",1.4,4.33,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6815","2010/2011",12,"2010-11-07 00:00:00",3,1,"France","France Ligue 1","LOSC Lille","Stade Brestois 29",1.67,3.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6816","2010/2011",33,"2011-05-01 00:00:00",0,0,"France","France Ligue 1","Montpellier Hérault SC","Stade Brestois 29",1.95,3.2,4.2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6817","2011/2012",32,"2012-04-15 00:00:00",2,1,"France","France Ligue 1","AS Saint-Étienne","Stade Brestois 29",1.75,3.2,5.5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"6818","2010/2011",1,"2010-08-07 00:00:00",2,0,"France","France Ligue 1","Toulouse FC","Stade Brestois 29",1.62,3.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6819","2012/2013",1,"2012-08-11 00:00:00",1,0,"France","France Ligue 1","AS Nancy-Lorraine","Stade Brestois 29",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6820","2012/2013",7,"2012-09-29 00:00:00",1,0,"France","France Ligue 1","AC Ajaccio","Stade Brestois 29",1.91,3.2,4.33,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6821","2012/2013",22,"2013-01-26 00:00:00",2,1,"France","France Ligue 1","ES Troyes AC","Stade Brestois 29",2,3.2,4,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6822","2011/2012",2,"2011-08-13 00:00:00",0,0,"France","France Ligue 1","Valenciennes FC","Stade Brestois 29",1.91,3.3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6823","2012/2013",14,"2012-11-24 00:00:00",0,0,"France","France Ligue 1","Stade de Reims","Stade Brestois 29",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"6824","2010/2011",16,"2010-12-05 00:00:00",3,1,"France","France Ligue 1","Paris Saint-Germain","Stade Brestois 29",1.6,3.6,6,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
"6825","2010/2011",4,"2010-08-28 00:00:00",0,2,"France","France Ligue 1","SM Caen","Stade Brestois 29",1.91,3.25,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6826","2011/2012",13,"2011-11-06 00:00:00",2,1,"France","France Ligue 1","AS Nancy-Lorraine","Stade Brestois 29",2.3,3.1,3.25,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6827","2012/2013",5,"2012-09-15 00:00:00",4,2,"France","France Ligue 1","OGC Nice","Stade Brestois 29",2,3.2,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6828","2011/2012",19,"2011-12-21 00:00:00",0,0,"France","France Ligue 1","Toulouse FC","Stade Brestois 29",1.85,3.2,4.75,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6829","2011/2012",7,"2011-09-21 00:00:00",1,0,"France","France Ligue 1","Dijon FCO","Stade Brestois 29",2.4,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6830","2010/2011",8,"2010-10-02 00:00:00",0,1,"France","France Ligue 1","AS Monaco","Stade Brestois 29",1.91,3.2,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6831","2010/2011",37,"2011-05-21 00:00:00",0,1,"France","France Ligue 1","AJ Auxerre","Stade Brestois 29",2.3,3,3.4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"6832","2012/2013",33,"2013-04-20 00:00:00",1,0,"France","France Ligue 1","Olympique de Marseille","Stade Brestois 29",1.36,4.5,9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6833","2010/2011",35,"2011-05-11 00:00:00",3,0,"France","France Ligue 1","Olympique de Marseille","Stade Brestois 29",1.36,4.5,9,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6834","2011/2012",34,"2012-04-29 00:00:00",4,0,"France","France Ligue 1","AJ Auxerre","Stade Brestois 29",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"6835","2012/2013",9,"2012-10-21 00:00:00",1,0,"France","France Ligue 1","Olympique Lyonnais","Stade Brestois 29",1.33,5,9,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"6836","2012/2013",35,"2013-05-04 00:00:00",2,1,"France","France Ligue 1","Montpellier Hérault SC","Stade Brestois 29",1.45,4.2,7.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6837","2011/2012",22,"2012-02-04 00:00:00",1,0,"France","France Ligue 1","Montpellier Hérault SC","Stade Brestois 29",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6838","2011/2012",17,"2011-12-10 00:00:00",1,1,"France","France Ligue 1","Stade Rennais FC","Stade Brestois 29",1.62,3.6,6,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"6839","2012/2013",37,"2013-05-18 00:00:00",3,1,"France","France Ligue 1","Paris Saint-Germain","Stade Brestois 29",1.14,7.5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6840","2010/2011",6,"2010-09-18 00:00:00",0,2,"France","France Ligue 1","AS Nancy-Lorraine","Stade Brestois 29",2,3.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6841","2015/2016",27,"2016-02-28 00:00:00",1,1,"Italy","Italy Serie A","Carpi","Atalanta",2.3,3.1,3.3,4,4,3,5,26,24,3,3,16,24,6,2
"6842","2009/2010",22,"2010-01-31 00:00:00",2,0,"Italy","Italy Serie A","Sampdoria","Atalanta",1.91,3.25,4.33,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"6843","2015/2016",38,"2016-05-15 00:00:00",1,2,"Italy","Italy Serie A","Genoa","Atalanta",1.85,3.6,4.2,4,4,8,6,19,14,3,3,15,11,7,5
"6844","2013/2014",27,"2014-03-09 00:00:00",0,1,"Italy","Italy Serie A","Lazio","Atalanta",1.57,3.8,6,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"6845","2009/2010",24,"2010-02-14 00:00:00",0,0,"Italy","Italy Serie A","Catania","Atalanta",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"6846","2015/2016",7,"2015-10-04 00:00:00",3,0,"Italy","Italy Serie A","Fiorentina","Atalanta",1.67,3.6,5.75,8,1,16,1,12,16,0,3,16,8,8,4
"6847","2012/2013",7,"2012-10-07 00:00:00",2,0,"Italy","Italy Serie A","Roma","Atalanta",1.5,4.33,6,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"6848","2012/2013",2,"2012-09-02 00:00:00",1,1,"Italy","Italy Serie A","Cagliari","Atalanta",2.3,3,3.4,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"6849","2011/2012",20,"2012-01-29 00:00:00",0,1,"Italy","Italy Serie A","Cesena","Atalanta",2.6,3.1,2.8,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"6850","2013/2014",31,"2014-03-29 00:00:00",0,2,"Italy","Italy Serie A","Bologna","Atalanta",2.3,3.1,3.25,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"6851","2014/2015",13,"2014-11-30 00:00:00",0,0,"Italy","Italy Serie A","Empoli","Atalanta",2.1,3.4,3.6,9,1,16,6,12,18,2,3,21,19,11,2
"6852","2014/2015",17,"2015-01-06 00:00:00",2,2,"Italy","Italy Serie A","Genoa","Atalanta",1.95,3.3,4.33,10,5,6,0,13,14,4,4,18,11,12,2
"6853","2012/2013",11,"2012-11-04 00:00:00",1,2,"Italy","Italy Serie A","Sampdoria","Atalanta",2.2,3.2,3.4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"6854","2009/2010",21,"2010-01-24 00:00:00",2,0,"Italy","Italy Serie A","Genoa","Atalanta",1.83,3.4,4.5,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"6855","2008/2009",11,"2008-11-09 00:00:00",2,1,"Italy","Italy Serie A","Fiorentina","Atalanta",1.53,3.6,7.5,8,3,9,6,22,17,2,3,27,14,4,0
"6856","2015/2016",9,"2015-10-25 00:00:00",2,0,"Italy","Italy Serie A","Juventus","Atalanta",1.33,5,10,8,1,6,7,9,16,2,4,18,4,4,3
"6857","2012/2013",25,"2013-02-17 00:00:00",2,1,"Italy","Italy Serie A","Torino","Atalanta",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6858","2011/2012",14,"2011-12-04 00:00:00",0,0,"Italy","Italy Serie A","Chievo Verona","Atalanta",2.3,3.1,3.25,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"6859","2008/2009",27,"2009-03-08 00:00:00",3,0,"Italy","Italy Serie A","Milan","Atalanta",1.57,3.6,6.5,6,10,5,12,18,12,2,2,8,26,1,7
"6860","2013/2014",1,"2013-08-25 00:00:00",2,1,"Italy","Italy Serie A","Cagliari","Atalanta",2.5,3,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"6861","2012/2013",35,"2013-05-05 00:00:00",2,0,"Italy","Italy Serie A","Parma","Atalanta",2.6,2.1,5,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA
"6862","2011/2012",16,"2011-12-17 00:00:00",2,2,"Italy","Italy Serie A","Fiorentina","Atalanta",1.91,3.25,4.33,5,4,7,4,20,17,1,2,18,23,8,5
"6863","2009/2010",8,"2009-10-18 00:00:00",1,3,"Italy","Italy Serie A","Udinese","Atalanta",1.67,3.5,5.5,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"6864","2009/2010",17,"2010-01-20 00:00:00",2,2,"Italy","Italy Serie A","Bologna","Atalanta",2.3,3.1,3.2,0,5,4,10,13,11,1,2,5,12,1,5
"6865","2011/2012",24,"2012-02-19 00:00:00",0,0,"Italy","Italy Serie A","Novara","Atalanta",2.6,3.2,2.75,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
"6866","2011/2012",4,"2011-09-21 00:00:00",1,2,"Italy","Italy Serie A","Lecce","Atalanta",2.5,3.1,2.9,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"6867","2011/2012",8,"2011-10-23 00:00:00",1,2,"Italy","Italy Serie A","Parma","Atalanta",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"6868","2009/2010",31,"2010-03-28 00:00:00",2,1,"Italy","Italy Serie A","Juventus","Atalanta",1.6,3.5,6.5,5,5,7,7,27,15,2,2,16,13,7,5
"6869","2014/2015",15,"2014-12-13 00:00:00",3,0,"Italy","Italy Serie A","Lazio","Atalanta",1.57,3.8,6.5,9,2,10,3,14,12,0,2,20,9,10,3
"6870","2014/2015",22,"2015-02-08 00:00:00",3,2,"Italy","Italy Serie A","Fiorentina","Atalanta",1.5,4.2,7,10,5,5,6,11,20,1,1,22,12,7,7
"6871","2009/2010",1,"2009-08-23 00:00:00",1,0,"Italy","Italy Serie A","Lazio","Atalanta",1.83,3.4,4.5,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"6872","2012/2013",17,"2012-12-16 00:00:00",3,0,"Italy","Italy Serie A","Juventus","Atalanta",1.29,5,11,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"6873","2015/2016",16,"2015-12-13 00:00:00",1,0,"Italy","Italy Serie A","Chievo Verona","Atalanta",2.4,3.1,3.2,7,1,8,3,14,17,3,5,24,9,5,1
"6874","2014/2015",33,"2015-04-29 00:00:00",2,2,"Italy","Italy Serie A","Cesena","Atalanta",2.88,3.1,2.63,3,7,5,6,21,18,3,4,2,10,2,3
"6875","2015/2016",32,"2016-04-10 00:00:00",2,1,"Italy","Italy Serie A","Torino","Atalanta",1.83,3.4,4.5,3,6,3,8,16,19,2,5,7,20,4,6
"6876","2015/2016",34,"2016-04-20 00:00:00",2,2,"Italy","Italy Serie A","Palermo","Atalanta",2.7,3.2,2.75,9,3,2,4,24,20,4,3,23,9,9,2
"6877","2011/2012",10,"2011-10-30 00:00:00",3,1,"Italy","Italy Serie A","Bologna","Atalanta",2.5,3.2,2.88,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"6878","2008/2009",16,"2008-12-14 00:00:00",1,1,"Italy","Italy Serie A","Genoa","Atalanta",1.91,3.1,4.5,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"6879","2015/2016",11,"2015-11-01 00:00:00",3,0,"Italy","Italy Serie A","Bologna","Atalanta",2.9,3.1,2.6,2,4,5,6,21,14,5,3,9,23,0,4
"6880","2011/2012",34,"2012-04-21 00:00:00",2,0,"Italy","Italy Serie A","Catania","Atalanta",2.1,2.8,4.33,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6881","2011/2012",6,"2011-10-01 00:00:00",3,1,"Italy","Italy Serie A","Roma","Atalanta",1.7,3.6,5,7,4,11,3,7,9,1,3,24,31,6,8
"6882","2013/2014",13,"2013-11-24 00:00:00",2,0,"Italy","Italy Serie A","Sassuolo","Atalanta",2.2,3.2,3.4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6883","2014/2015",28,"2015-03-22 00:00:00",1,1,"Italy","Italy Serie A","Napoli","Atalanta",1.44,4.5,7.5,11,4,4,4,16,15,4,6,26,5,8,5
"6884","2015/2016",21,"2016-01-23 00:00:00",0,0,"Italy","Italy Serie A","Frosinone","Atalanta",3.5,3.4,2.1,5,6,5,10,16,18,2,1,24,20,5,1
"6885","2014/2015",35,"2015-05-10 00:00:00",2,3,"Italy","Italy Serie A","Palermo","Atalanta",2.15,3.4,3.5,11,6,9,3,16,14,1,3,37,7,13,3
"6886","2011/2012",38,"2012-05-13 00:00:00",3,1,"Italy","Italy Serie A","Juventus","Atalanta",1.3,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6887","2012/2013",15,"2012-12-02 00:00:00",2,1,"Italy","Italy Serie A","Bologna","Atalanta",2.25,3.2,3.25,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
"6888","2014/2015",2,"2014-09-14 00:00:00",1,2,"Italy","Italy Serie A","Cagliari","Atalanta",2.25,3.4,3.1,9,2,8,3,15,22,4,4,20,8,7,7
"6889","2013/2014",15,"2013-12-08 00:00:00",2,1,"Italy","Italy Serie A","Hellas Verona","Atalanta",1.95,3.3,4,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
"6890","2008/2009",3,"2008-09-20 00:00:00",1,0,"Italy","Italy Serie A","Catania","Atalanta",2.35,2.9,3.4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"6891","2012/2013",27,"2013-03-03 00:00:00",0,2,"Italy","Italy Serie A","Siena","Atalanta",2.2,3.2,3.4,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA
"6892","2014/2015",37,"2015-05-24 00:00:00",1,1,"Italy","Italy Serie A","Chievo Verona","Atalanta",2.1,3.4,3.5,8,4,2,2,16,13,1,0,3,3,5,5
"6893","2008/2009",36,"2009-05-17 00:00:00",2,2,"Italy","Italy Serie A","Juventus","Atalanta",1.25,5.5,12,6,4,5,7,17,11,NA,NA,25,6,8,5
"6894","2013/2014",33,"2014-04-12 00:00:00",3,1,"Italy","Italy Serie A","Roma","Atalanta",1.33,4.75,10,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA
"6895","2011/2012",12,"2011-11-20 00:00:00",2,2,"Italy","Italy Serie A","Siena","Atalanta",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6896","2009/2010",28,"2010-03-14 00:00:00",1,0,"Italy","Italy Serie A","Parma","Atalanta",2,3.2,4,5,6,6,6,11,16,3,4,21,22,6,6
"6897","2015/2016",25,"2016-02-14 00:00:00",0,0,"Italy","Italy Serie A","Sampdoria","Atalanta",2.1,3.25,3.75,3,7,8,3,10,14,2,4,14,19,7,6
"6898","2013/2014",16,"2013-12-15 00:00:00",1,1,"Italy","Italy Serie A","Genoa","Atalanta",2.15,3.25,3.4,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"6899","2013/2014",3,"2013-09-14 00:00:00",2,0,"Italy","Italy Serie A","Napoli","Atalanta",1.36,4.75,8.5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6900","2015/2016",1,"2015-08-23 00:00:00",1,0,"Italy","Italy Serie A","Inter","Atalanta",1.45,4.33,7.5,10,2,10,5,15,12,2,4,19,5,9,1
"6901","2008/2009",23,"2009-02-08 00:00:00",0,1,"Italy","Italy Serie A","Cagliari","Atalanta",2,3.1,4.2,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA
"6902","2014/2015",31,"2015-04-19 00:00:00",1,1,"Italy","Italy Serie A","Roma","Atalanta",1.44,4.5,7.5,9,3,3,0,17,19,4,5,19,6,11,1
"6903","2014/2015",10,"2014-11-02 00:00:00",0,0,"Italy","Italy Serie A","Torino","Atalanta",1.85,3.5,4.2,13,6,10,3,12,23,0,5,22,13,10,6
"6904","2008/2009",9,"2008-10-29 00:00:00",2,1,"Italy","Italy Serie A","Torino","Atalanta",2.4,3,3.2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"6905","2015/2016",18,"2016-01-06 00:00:00",2,1,"Italy","Italy Serie A","Udinese","Atalanta",2.2,3.25,3.5,7,11,9,8,18,18,3,3,18,26,4,5
"6906","2012/2013",13,"2012-11-18 00:00:00",4,1,"Italy","Italy Serie A","Fiorentina","Atalanta",1.57,3.75,6,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA
"6907","2011/2012",2,"2011-09-11 00:00:00",2,2,"Italy","Italy Serie A","Genoa","Atalanta",1.73,3.5,5,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"6908","2012/2013",31,"2013-04-07 00:00:00",3,4,"Italy","Italy Serie A","Inter","Atalanta",1.75,3.6,4.75,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"6909","2014/2015",20,"2015-01-25 00:00:00",1,0,"Italy","Italy Serie A","Hellas Verona","Atalanta",2.5,3.2,3,8,7,10,8,11,14,2,2,31,34,0,3
"6910","2012/2013",23,"2013-02-03 00:00:00",1,2,"Italy","Italy Serie A","Palermo","Atalanta",2.15,3.2,3.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6911","2011/2012",28,"2012-03-18 00:00:00",0,0,"Italy","Italy Serie A","Inter","Atalanta",1.62,3.8,5.5,7,2,6,5,15,17,2,4,21,16,4,3
"6912","2009/2010",37,"2010-05-09 00:00:00",2,0,"Italy","Italy Serie A","Napoli","Atalanta",1.44,4.33,7,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"6913","2008/2009",33,"2009-04-26 00:00:00",0,1,"Italy","Italy Serie A","Lazio","Atalanta",1.8,3.3,4.75,6,5,6,6,14,16,2,2,11,15,1,5
"6914","2012/2013",5,"2012-09-26 00:00:00",2,1,"Italy","Italy Serie A","Catania","Atalanta",2.1,3.25,3.6,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"6915","2009/2010",33,"2010-04-11 00:00:00",2,1,"Italy","Italy Serie A","Roma","Atalanta",1.33,4.5,9.5,2,4,10,3,5,17,2,3,19,21,6,4
"6916","2013/2014",23,"2014-02-08 00:00:00",2,0,"Italy","Italy Serie A","Fiorentina","Atalanta",1.44,4.33,7,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
"6917","2013/2014",11,"2013-11-03 00:00:00",1,0,"Italy","Italy Serie A","Livorno","Atalanta",2.7,3.1,2.7,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"6918","2009/2010",4,"2009-09-20 00:00:00",4,1,"Italy","Italy Serie A","Bari","Atalanta",2.5,3.1,2.9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"6919","2014/2015",8,"2014-10-26 00:00:00",2,0,"Italy","Italy Serie A","Udinese","Atalanta",1.91,3.4,4,3,8,10,7,15,15,2,1,4,20,5,7
"6920","2009/2010",15,"2009-12-06 00:00:00",2,0,"Italy","Italy Serie A","Fiorentina","Atalanta",1.55,3.6,7,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"6921","2011/2012",32,"2012-04-11 00:00:00",1,3,"Italy","Italy Serie A","Napoli","Atalanta",1.44,4,8.5,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"6922","2008/2009",25,"2009-02-22 00:00:00",1,0,"Italy","Italy Serie A","Sampdoria","Atalanta",2.15,3.1,3.6,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA
